 , ,Sn,Sp,precision,acc,f1_score,auc,fpr
remaining,2,0.9941224489795918,0.9951388888888889,0.9942880542596161,0.994671669793621,0.9942039122026786,0.9998595767195767,0.004861111111111131
remaining,3,0.994933410538506,0.9886363636363636,0.9893764088549318,0.9918566775244299,0.9920845608881089,0.9998323273265369,0.011363636363636373
remaining,5,0.9884731182795697,0.9806349206349207,0.9794720295694279,0.9843962848297213,0.9838098141133145,0.9992962621607783,0.019365079365079342
remaining,6,0.879247015610652,0.9197191697191697,0.9135518144191607,0.9007011866235166,0.891282392289463,0.9777424805833896,0.08028083028083027
remaining,8,0.9951002227171493,0.9906666666666666,0.9907804527960966,0.992880978865406,0.9929049866767652,0.9992514229151199,0.009333333333333327
remaining,9,0.9965075942246391,0.9912609238451935,0.9915617761992257,0.9939157455287253,0.9940091329403182,0.9997873070934695,0.008739076154806485
remaining,10,0.9752943447210963,0.9817948717948718,0.9795675157951749,0.9787417278578552,0.9773706457520349,0.9974729039537958,0.018205128205128207
remaining,13,0.9898207885304658,0.9913492063492063,0.9923972182482611,0.9905461393596987,0.9909831901350407,0.9998291175968594,0.00865079365079365
remaining,14,0.9654788418708241,0.9155555555555557,0.9550860576832116,0.9476235892544906,0.959907214377404,0.9855441722345955,0.08444444444444445
remaining,17,0.9747587230883444,0.9733333333333333,0.9206968496063913,0.973661706858218,0.9460710313382258,0.9951258351893095,0.02666666666666669
remaining,18,0.9960872658287881,0.9956018518518519,0.9962531396097581,0.9958637158330134,0.996163562386084,0.9999347877638131,0.004398148148148133
remaining,19,0.9990110137109461,0.9990222222222221,0.9990107465326611,0.9990166499050174,0.9990107953375446,0.9999923218700831,0.000977777777777818
remaining,20,0.999741184082821,0.9972268441486412,0.9967943520444535,0.998387337613857,0.9982603598981807,0.9999990848854843,0.002773155851358844
remaining,21,0.9785613397901534,0.9588888888888889,0.9613021695034111,0.9687310720775288,0.9694260808193886,0.9953768108852853,0.0411111111111111
remaining,22,0.9259465478841871,0.864658214612469,0.4703416096633832,0.8710960346239327,0.6170698783784074,0.9468409445582465,0.13534178538753106
